type,countryName,countryCode,mcc,mnc,brand,operator,status,bands,notes
National,Spain,ES,214,12,,"SAC CONVERGENT AGGREGATION SERVICES, S.L.U.",Unknown,Unknown,Former Contacta Servicios Avanzados de Telecomunicaciones SL
National,Spain,ES,214,13,,"SYMA MOBILE ESPAÑA, S.L.",Unknown,MVNO,Former Incotel Ingeniera y Consultaria SL
National,Spain,ES,214,14,,Incotel Servicioz Avanzados SL,Not operational,Unknown,MNC withdrawn
National,Spain,ES,214,15,BT,BT Group España Compañia de Servicios Globales de Telecomunicaciones S.A.U.,Not operational,MVNO,MNC withdrawn
National,Spain,ES,214,16,TeleCable,R Cable y Telecomunicaciones Galicia S.A.,Operational,MVNO,Acquired by Euskaltel
National,Spain,ES,214,17,Móbil R,R Cable y Telecomunicaciones Galicia S.A.,Operational,MVNO,Acquired by Euskaltel
National,Spain,ES,214,18,ONO,Vodafone Spain,Not operational,MVNO,MNC withdrawn; acquired by Vodafone
National,Spain,ES,214,19,Simyo,Orange España Virtual Sl.,Operational,MVNO,Acquired by Orange
National,Spain,ES,214,20,Fonyou,Fonyou Telecom S.L.,Not operational,MVNO,MNC withdrawn
National,Spain,ES,214,21,Jazztel,Orange Espagne S.A.U.,Operational,MVNO,Acquired by Orange in 2014
National,Spain,ES,214,22,DIGI mobil,Best Spain Telecom,Operational,MVNO,
National,Spain,ES,214,23,,Xfera Moviles S.A.U.,Unknown,Unknown,
National,Spain,ES,214,24,,"VODAFONE ESPAÑA, S.A.U.",Operational,MVNO,"Former Eroski Móvil España, acquired by Vodafone in Feb 2018; some MVNOs use this MNC (Orbitel, Vizzavi)"
National,Spain,ES,214,25,Lycamobile,LycaMobile S.L.,Operational,MVNO,
National,Spain,ES,214,26,,"Lleida Networks Serveis Telemátics, SL",Unknown,Unknown,
National,Spain,ES,214,27,Truphone,"SCN Truphone, S.L.",Operational,MVNO,
National,Spain,ES,214,28,Murcia4G,"Consorcio de Telecomunicaciones Avanzadas, S.A.",Operational,TD-LTE 2600,LTE band 38
National,Spain,ES,214,29,,Xfera Moviles S.A.U.,Operational,TD-LTE 3500,"Former NEO-SKY 2002, S.A."
National,Spain,ES,214,30,,Compatel Limited,Unknown,Unknown,
National,Spain,ES,214,31,,"Red Digital De Telecomunicaciones de las Islas Baleares, S.L.",Unknown,Unknown,
National,Spain,ES,214,32,Tuenti,Telefónica Móviles España,Not operational,MVNO,"MNC withdrawn, replaced by MNC 05"
National,Spain,ES,214,33,,"Xfera Móviles, S.A.U.",Unknown,WiMAX,Former EURONA WIRELESS TELECOM
National,Spain,ES,214,34,,"Aire Networks del Mediterráneo, S.L.U.",Operational,LTE 2600,
National,Spain,ES,214,35,,"INGENIUM OUTSOURCING SERVICES, S.L.",Unknown,MVNO,
National,Spain,ES,214,36,,"ALAI OPERADOR DE TELECOMUNICACIONES, S.L",Unknown,MVNO,"Former OPEN CABLE TELECOMUNICACIONES, S.L."
National,Spain,ES,214,37,,Vodafone Spain,Unknown,Unknown,
National,Spain,ES,214,38,,"Telefónica Móviles España, S.A.U.",Unknown,Unknown,
National,Spain,ES,214,51,ADIF,Administrador de Infraestructuras Ferroviarias,Operational,GSM-R,
National,Sweden,SE,240,01,Telia,Telia Sverige AB,Operational,GSM 900 / GSM 1800 / UMTS 900 / LTE 800 / LTE 1800 / LTE 2600,
National,Sweden,SE,240,02,3,HI3G Access AB,Operational,UMTS 900 / UMTS 2100 / LTE 800 / LTE 2600 / TD-LTE 2600,
National,Sweden,SE,240,03,Net 1,Teracom Mobil AB,Operational,LTE 450,"Former Nordisk Mobiltelefon, Ice.net; CDMA 450 shut down"
National,Sweden,SE,240,04,SWEDEN,3G Infrastructure Services AB,Operational,UMTS 2100,Owned by Hi3G Access (3) and Telenor. Not available in major cities since the owners operate their own city networks.
National,Sweden,SE,240,05,Sweden 3G,Svenska UMTS-Nät AB,Operational,UMTS 2100,Owned by Telia and Tele2. Available all over Sweden.
National,Sweden,SE,240,06,Telenor,Telenor Sverige AB,Operational,UMTS 2100,former Vodafone Sweden
National,Sweden,SE,240,07,Tele2,Tele2 Sverige AB,Operational,UMTS 2100 / LTE 800 / LTE 900 / LTE 1800 / LTE 2600,MOCN r6 network
National,Sweden,SE,240,08,Telenor,Telenor Sverige AB,Not operational,GSM 900 / GSM 1800,Now merged with Tele2 into Net4Mobility
National,Sweden,SE,240,09,Com4,Communication for Devices in Sweden AB,Unknown,Unknown,former djuice (Telenor MVNO)
National,Sweden,SE,240,10,Spring Mobil,Tele2 Sverige AB,Operational,,Only used on femto- and nanocells
National,Sweden,SE,240,11,,ComHem AB,Unknown,Unknown,Former Lindholmen Science Park AB
National,Sweden,SE,240,12,Lycamobile,Lycamobile Sweden Limited,Operational,MVNO,
National,Sweden,SE,240,13,,A3 Företag AB,Unknown,Unknown,Former Alltele Företag Sverige AB
National,Sweden,SE,240,14,,Tele2 Business AB,Unknown,Unknown,Former TDC Sverige AB (MVNO)
National,Sweden,SE,240,15,,Sierra Wireless Sweden AB,Unknown,Unknown,Former Wireless Maingate Nordic AB
National,Sweden,SE,240,16,,42 Telecom AB,Operational,GSM,
National,Sweden,SE,240,17,Gotanet,Götalandsnätet AB,Operational,MVNO,
National,Sweden,SE,240,18,,Generic Mobile Systems Sweden AB,Unknown,Unknown,
National,Sweden,SE,240,19,Vectone Mobile,Mundio Mobile (Sweden) Limited,Operational,MVNO,MVNO in Telia's network
National,Sweden,SE,240,20,,Sierra Wireless Messaging AB,Operational,MVNO,Former Wireless Maingate Messaging Services AB
National,Sweden,SE,240,21,MobiSir,Trafikverket ICT,Operational,GSM-R 900,
National,Sweden,SE,240,22,,EuTel AB,Unknown,Unknown,
National,Sweden,SE,240,23,,Infobip Limited (UK),Not operational,Unknown,
National,Sweden,SE,240,24,Sweden 2G,Net4Mobility HB,Operational,GSM 900 / LTE 800 / LTE 900 / LTE 1800 / LTE 2600,"LTE1800 only available in major cities, it was deployed mostly to boost sales of the iPhone 5; owned by Telenor and Tele2."
National,Sweden,SE,240,25,,Monty UK Global Ltd,Unknown,Unknown,Former Digitel Mobile Srl
National,Sweden,SE,240,26,,Twilio Sweden AB,Unknown,Unknown,Former Beepsend AB
National,Sweden,SE,240,27,,GlobeTouch AB,Operational,MVNO,Former Fogg Mobile AB; M2M services only
National,Sweden,SE,240,28,,LINK Mobile A/S,Unknown,Unknown,Former CoolTEL Aps
National,Sweden,SE,240,29,,Mercury International Carrier Services,Unknown,Unknown,
National,Sweden,SE,240,30,,NextGen Mobile Ltd.,Not operational,Unknown,MNC withdrawn
National,Sweden,SE,240,31,,RebTel Network AB,Unknown,Unknown,Former Mobimax AB
National,Sweden,SE,240,32,,Compatel Limited,Unknown,Unknown,
National,Sweden,SE,240,33,,Mobile Arts AB,Unknown,Unknown,
National,Sweden,SE,240,34,,Trafikverket centralfunktion IT,Unknown,Unknown,"Formerly Tigo, Pro Net;"
National,Sweden,SE,240,35,,42 Telecom LTD,Unknown,Unknown,
National,Sweden,SE,240,36,,interactive digital media GmbH,Unknown,Unknown,
National,Sweden,SE,240,37,,Sinch Sweden AB,Unknown,Unknown,Former CLX Networks AB
National,Sweden,SE,240,38,Voxbone,Voxbone mobile,Operational,MVNO,
National,Sweden,SE,240,39,,Primlight AB,Unknown,Unknown,"Former iCentrex Sweden AB, Borderlight AB"
National,Sweden,SE,240,40,,Netmore Group AB,Unknown,Unknown,"Former ReWiCom Scandinavia AB, North net connect AB"
National,Sweden,SE,240,41,,Shyam Telecom UK Ltd.,Not operational,Unknown,MNC withdrawn
National,Sweden,SE,240,42,,Telenor Connexion AB,Unknown,Unknown,
National,Sweden,SE,240,43,,MobiWeb Ltd.,Unknown,Unknown,
National,Sweden,SE,240,44,,Telenabler AB,Unknown,Unknown,Former Limitless Mobile AB
National,Sweden,SE,240,45,,Spirius AB,Unknown,Unknown,
National,Sweden,SE,240,46,Viahub,SMS Provider Corp.,Unknown,MVNO,
National,Sweden,SE,240,47,,Viatel Sweden AB,Unknown,Unknown,
National,Sweden,SE,240,48,,Tismi BV,Unknown,MVNO,
National,Sweden,SE,240,60,,Telefonaktiebolaget LM Ericsson,Not operational,Unknown,Test network; temporary license until 31 December 2019
National,Sweden,SE,240,61,,MessageBird B.V.,Not operational,Unknown,temporary license until 3 November 2019
National,Sweden,SE,240,63,FTS,Fink Telecom Services,Operational,Unknown,
National,Switzerland,CH,228,01,Swisscom,Swisscom AG,Operational,GSM 900 / UMTS 900 / LTE 800 / LTE 1800 / LTE 2100 / LTE 2600 / 5G 2100 / 5G 3500,UMTS 2100 shut down Nov 2019; GSM shutdown planned for 2020 and UMTS 900 for 2024
National,Switzerland,CH,228,02,Sunrise,Sunrise Communications AG,Operational,GSM 900 / UMTS 900 / UMTS 2100 / LTE 800 / LTE 900 / LTE 1800 / LTE 2100 / LTE 2600 / 5G 3500,
National,Switzerland,CH,228,03,Salt,Salt Mobile SA,Operational,GSM 1800 / UMTS 900 / UMTS 2100 / LTE 800 / LTE 1800 / LTE 2100 / LTE 2600,Former Orange
National,Switzerland,CH,228,05,,Comfone AG,Not operational,Unknown,Former Togewanet AG
National,Switzerland,CH,228,06,SBB-CFF-FFS,SBB AG,Operational,GSM-R 900,railways communication
National,Switzerland,CH,228,07,IN&Phone,IN&Phone SA,Not operational,GSM 1800,"MNC withdrawn, bankrupt in 2012"
National,Switzerland,CH,228,08,Tele4u,TelCommunication Services AG,Operational,GSM 1800,"owned by Sunrise, former Tele2"
National,Switzerland,CH,228,09,,Comfone AG,Unknown,Unknown,
National,Switzerland,CH,228,10,,Stadt Polizei Zürich,Operational,Unknown,
National,Switzerland,CH,228,11,,Swisscom Broadcast AG,Unknown,Unknown,
National,Switzerland,CH,228,12,Sunrise,Sunrise Communications AG,Not operational,,
National,Switzerland,CH,228,50,,3G Mobile AG,Not operational,UMTS 2100,MNC withdrawn
National,Switzerland,CH,228,51,,relario AG,Operational,MVNO,Former BebbiCell AG
National,Switzerland,CH,228,52,Barablu,Barablu,Not operational,,MNC withdrawn
National,Switzerland,CH,228,53,upc cablecom,UPC Schweiz GmbH,Operational,MVNO,
National,Switzerland,CH,228,54,Lycamobile,Lycamobile AG,Operational,MVNO,
National,Switzerland,CH,228,55,,WeMobile SA,Unknown,,SMS relay only
National,Switzerland,CH,228,56,,SMSRelay AG,Not operational,Unknown,MNC withdrawn
National,Switzerland,CH,228,57,,Mitto AG,Unknown,,SMS relay only
National,Switzerland,CH,228,58,beeone,Beeone Communications SA,Operational,MVNO,
National,Switzerland,CH,228,59,Vectone,Mundio Mobile Limited,Not operational,MVNO,MNC withdrawn
National,Switzerland,CH,228,60,Sunrise,Sunrise Communications AG,Unknown,Unknown,Former network sharing test with Salt Mobile
National,Switzerland,CH,228,61,,Compatel Ltd.,Not operational,,SMS relay only; MNC withdrawn
National,Switzerland,CH,228,62,,Telecom26 AG,Operational,MVNO,
National,Switzerland,CH,228,63,FTS,Fink Telecom Services,Operational,Unknown,SMS relay only
National,Switzerland,CH,228,64,,Nth AG,Operational,MVNO,Mobile payment solutions
National,Switzerland,CH,228,99,,Swisscom Broadcast AG,Not operational,,Test network; MNC withdrawn
National,Turkey,TR,286,01,Turkcell,Turkcell Iletisim Hizmetleri A.S.,Operational,GSM 900 / UMTS 900 / UMTS 2100 / LTE 800 / LTE 900 / LTE 1800 / LTE 2100 / LTE 2600,
National,Turkey,TR,286,02,Vodafone,Vodafone Turkey,Operational,GSM 900 / UMTS 2100 / LTE 800 / LTE 900 / LTE 1800 / LTE 2600,Formerly known as Telsim
National,Turkey,TR,286,03,Türk Telekom,Türk Telekom,Operational,GSM 1800 / UMTS 900 / UMTS 2100 / LTE 800 / LTE 1800 / LTE 2600,"Former Aria, merged with Aycell to form Avea"
National,Turkey,TR,286,04,Aycell,Aycell,Not operational,GSM 1800,Merged into Aria to form Avea
National,Ukraine,UA,255,01,Vodafone,"PRJSC “VF Ukraine""",Operational,GSM 900 / GSM 1800 / UMTS 2100 / LTE 1800 / LTE 2600,"Former UMC, MTS; CDMA 450 shut down June 2018"
National,Ukraine,UA,255,02,Kyivstar,"PRJSC “Kyivstar""",Operational,GSM 900 / GSM 1800 / UMTS 2100 / LTE 1800 / LTE 2600,"Former Beeline,  WellCOM, URS; taken over by Kyivstar"
National,Ukraine,UA,255,03,Kyivstar,"PRJSC “Kyivstar""",Operational,GSM 900 / GSM 1800 / UMTS 2100 / LTE 1800 / LTE 2600,
National,Ukraine,UA,255,04,Intertelecom,Intertelecom LLC,Operational,CDMA 800,
National,Ukraine,UA,255,05,Kyivstar,"PRJSC “Kyivstar""",Not operational,GSM 1800,Former Golden Telecom; taken over by Kyivstar; MNC withdrawn
National,Ukraine,UA,255,06,lifecell,lifecell LLC,Operational,GSM 900 / GSM 1800 / UMTS 2100 / LTE 1800 / LTE 2600,Former life:) / Astelit
National,Ukraine,UA,255,07,3Mob; Lycamobile,Trimob LLC,Operational,UMTS 2100,"Former Utel, GSM / UMTS roaming with Vodafone"
National,Ukraine,UA,255,08,,JSC Ukrtelecom,Not operational,Unknown,MNC assigned in 2019 for 2 years
National,Ukraine,UA,255,09,,"PRJSC ""Farlep-Invest""",Not operational,Unknown,MNC assigned in 2019 for 2 years; part of Vega Telecommunications Group
National,Ukraine,UA,255,10,,Atlantis Telecom LLC,Unknown,Unknown,
National,Ukraine,UA,255,21,PEOPLEnet,"PRJSC “Telesystems of Ukraine""",Operational,CDMA 800,
National,Ukraine,UA,255,23,CDMA Ukraine,Intertelecom LLC,Not operational,CDMA 800,Taken over by Intertelecom; MNC withdrawn
National,Ukraine,UA,255,25,NEWTONE,"PRJSC “Telesystems of Ukraine""",Not operational,CDMA 800,Taken over by PEOPLEnet; MNC withdrawn
National,Ukraine,UA,255,99,Phoenix,Phoenix,Operational,LTE 800,"""Donetsk People's Republic"" only; MNC not officially assigned"
National,United Kingdom,GB,234,00,BT,BT Group,Operational,GSM 900 / GSM 1800 / UMTS 2100,
National,United Kingdom,GB,234,01,Vectone Mobile,Mundio Mobile Limited,Operational,MVNO,Previously Mapesbury Communications Ltd.; uses EE network
National,United Kingdom,GB,234,02,O2 (UK),Telefónica Europe,Operational,GSM 900 / GSM 1800 / UMTS 900 / UMTS 2100 / LTE 800 / LTE 900 / LTE 1800 / LTE 2100 / TD-LTE 2300 / 5G 3500,
National,United Kingdom,GB,234,03,Airtel-Vodafone,Jersey Airtel Ltd,Operational,GSM 900 / GSM 1800 / UMTS 2100 / LTE 800 / LTE 1800,"Guernsey, Jersey"
National,United Kingdom,GB,234,04,FMS Solutions Ltd,FMS Solutions Ltd,Reserved,GSM 1800,
National,United Kingdom,GB,234,05,,COLT Mobile Telecommunications Limited,Not operational,,MNC withdrawn
National,United Kingdom,GB,234,06,,Internet Computer Bureau Limited,Not operational,,MNC withdrawn
National,United Kingdom,GB,234,07,Vodafone UK,Vodafone,Not operational,GSM 1800,Former Cable & Wireless Worldwide; MNC withdrawn
National,United Kingdom,GB,234,08,BT OnePhone,BT OnePhone (UK) Ltd,Operational,MVNO,Uses the EE Network
National,United Kingdom,GB,234,09,,Tismi BV,Unknown,,
National,United Kingdom,GB,234,10,O2 (UK),Telefónica Europe,Operational,GSM 900 / GSM 1800 / UMTS 900 / UMTS 2100 / LTE 800 / LTE 900 / LTE 1800 / LTE 2100 / TD-LTE 2300 / 5G 3500,
National,United Kingdom,GB,234,11,O2 (UK),Telefónica Europe,Operational,GSM 900 / GSM 1800 / UMTS 900 / UMTS 2100 / LTE 800 / LTE 900 / LTE 1800 / LTE 2100 / TD-LTE 2300 / 5G 3500,
National,United Kingdom,GB,234,12,Railtrack,Network Rail Infrastructure Ltd,Operational,GSM-R,
National,United Kingdom,GB,234,13,Railtrack,Network Rail Infrastructure Ltd,Operational,GSM-R,
National,United Kingdom,GB,234,14,,Link Mobility UK Ltd,Operational,GSM 1800,Former Hay Systems Ltd
National,United Kingdom,GB,234,15,Vodafone UK,Vodafone,Operational,GSM 900 / GSM 1800 / UMTS 900 / UMTS 2100 / LTE 800 / LTE 900 / LTE 1800 / LTE 2100 / LTE 2600 / TD-LTE 2600 / 5G 3500,
National,United Kingdom,GB,234,16,Talk Talk,TalkTalk Communications Limited,Operational,MVNO,Formerly Opal Tel Ltd; uses Vodafone network
National,United Kingdom,GB,234,17,,FleXtel Limited,Not operational,,MNC withdrawn
National,United Kingdom,GB,234,18,Cloud9,Cloud9,Operational,MVNO,Isle of Man network shut down
National,United Kingdom,GB,234,19,Private Mobile Networks PMN,Teleware plc,Operational,GSM 1800,Private GSM; roaming with Vodafone
National,United Kingdom,GB,234,20,3,Hutchison 3G UK Ltd,Operational,UMTS 2100 / LTE 800 / LTE 1800 / LTE 2100 / 5G 3500,National roaming with Orange (UK)'s 2G network
National,United Kingdom,GB,234,21,,LogicStar Ltd,Not operational,Unknown,MNC withdrawn
National,United Kingdom,GB,234,22,,Telesign Mobile Limited,Unknown,Unknown,Former Routo Telecommunications Limited
National,United Kingdom,GB,234,23,,Icron Network Limited,Unknown,Unknown,
National,United Kingdom,GB,234,24,Greenfone,Stour Marine Limited,Operational,MVNO,Uses Stour Marine network
National,United Kingdom,GB,234,25,Truphone,Truphone,Operational,MVNO,Uses Vodafone network
National,United Kingdom,GB,234,26,Lycamobile,Lycamobile UK Limited,Operational,MVNO,Uses O2 Network
National,United Kingdom,GB,234,27,,Teleena UK Limited,Operational,MVNE,
National,United Kingdom,GB,234,28,,Marathon Telecom Limited,Operational,MVNO,Holds unused spectrum in Jersey
National,United Kingdom,GB,234,29,aql,(aq) Limited,Unknown,Unknown,
National,United Kingdom,GB,234,30,T-Mobile UK,EE,Operational,GSM 1800 / UMTS 2100 / LTE 800 / LTE 1800 / LTE 2100 / LTE 2600 / 5G 3500,Previously owned by Deutsche Telekom; used by MVNOs Asda Mobile & Virgin Mobile
National,United Kingdom,GB,234,31,T-Mobile UK,EE,Allocated,GSM 1800 / UMTS 2100 / LTE 800 / LTE 1800 / LTE 2100 / LTE 2600 / 5G 3500,
National,United Kingdom,GB,234,32,T-Mobile UK,EE,Allocated,GSM 1800 / UMTS 2100 / LTE 800 / LTE 1800 / LTE 2100 / LTE 2600 / 5G 3500,
National,United Kingdom,GB,234,33,Orange,EE,Operational,GSM 1800 / UMTS 2100 / LTE 800 / LTE 1800 / LTE 2100 / LTE 2600,Previously owned by Orange S.A.
National,United Kingdom,GB,234,34,Orange,EE,Operational,GSM 1800 / UMTS 2100 / LTE 800 / LTE 1800 / LTE 2100 / LTE 2600,Previously owned by Orange S.A.
National,United Kingdom,GB,234,35,,JSC Ingenium (UK) Limited,Not operational,Unknown,MNC withdrawn
National,United Kingdom,GB,234,36,Sure Mobile,Sure Isle of Man Ltd.,Operational,GSM 900 / GSM 1800 / LTE 800 / LTE 1800 / LTE 2100,Isle of Man; former Cable & Wireless
National,United Kingdom,GB,234,37,,Synectiv Ltd,Unknown,Unknown,
National,United Kingdom,GB,234,38,Virgin Mobile,Virgin Media,Unknown,Unknown,
National,United Kingdom,GB,234,39,,Gamma Telecom Holdings Ltd.,Unknown,Unknown,Former SSE Energy Supply Limited
National,United Kingdom,GB,234,50,JT,JT Group Limited,Operational,GSM 900 / GSM 1800 / UMTS 900 / UMTS 2100 / LTE 800 / LTE 1800 / LTE 2600,"Guernsey, Jersey; former Wave Telecom"
National,United Kingdom,GB,234,51,Relish,UK Broadband Limited,Operational,TD-LTE 3500 / TD-LTE 3700,
National,United Kingdom,GB,234,52,,Shyam Telecom UK Ltd,Unknown,Unknown,
National,United Kingdom,GB,234,53,,Limitless Mobile Ltd,Operational,MVNO,
National,United Kingdom,GB,234,54,iD Mobile,The Carphone Warehouse Limited,Operational,MVNO,Uses Three UK
National,United Kingdom,GB,234,55,Sure Mobile,Sure (Guernsey) Limited,Operational,GSM 900 / GSM 1800 / UMTS 2100 / LTE 800 / LTE 1800,"Guernsey, Jersey; former Cable & Wireless"
National,United Kingdom,GB,234,56,,CESG,Unknown,Unknown,
National,United Kingdom,GB,234,57,,Sky UK Limited,Unknown,Unknown,
National,United Kingdom,GB,234,58,Pronto GSM,Manx Telecom,Operational,GSM 900 / UMTS 2100 / LTE 800 / LTE 1800,Isle of Man
National,United Kingdom,GB,234,59,,Limitless Mobile Ltd,Operational,MVNO,
National,United Kingdom,GB,234,70,,AMSUK Ltd.,Not operational,Unknown,MNC withdrawn
National,United Kingdom,GB,234,71,,Home Office,Unknown,Unknown,
National,United Kingdom,GB,234,72,Hanhaa Mobile,Hanhaa Limited,Operational,MVNO,M2M applications
National,United Kingdom,GB,234,73,,Bluewave Communications Ltd,Operational,TD-LTE 3500,Isle of Man
National,United Kingdom,GB,234,74,,Pareteum Europe B.V.,Unknown,Unkown,
National,United Kingdom,GB,234,76,BT,BT Group,Operational,GSM 900 / GSM 1800,
National,United Kingdom,GB,234,78,Airwave,Airwave Solutions Ltd,Operational,TETRA,
National,United Kingdom,GB,234,86,,EE,Unknown,Unknown,
National,United Kingdom,GB,235,00,Vectone Mobile,Mundio Mobile Limited,Unknown,,
National,United Kingdom,GB,235,01,,EE,Unknown,Unknown,
National,United Kingdom,GB,235,02,,EE,Unknown,Unknown,
National,United Kingdom,GB,235,03,Relish,UK Broadband Limited,Unknown,Unknown,
National,United Kingdom,GB,235,04,,University of Strathclyde,Unknown,Unknown,
National,United Kingdom,GB,235,06,,University of Strathclyde,Unknown,Unknown,
National,United Kingdom,GB,235,07,,University of Strathclyde,Unknown,Unknown,
National,United Kingdom,GB,235,77,BT,BT Group,Unknown,,
National,United Kingdom,GB,235,88,,Telet Research (N.I.) Limited,Not operational,LTE,MNC withdrawn
National,United Kingdom,GB,235,91,Vodafone UK,Vodafone United Kingdom,Unknown,,
National,United Kingdom,GB,235,92,Vodafone UK,Vodafone United Kingdom,Not operational,,Former Cable & Wireless UK; MNC withdrawn
National,United Kingdom,GB,235,94,,Hutchison 3G UK Ltd,Unknown,,
National,United Kingdom,GB,235,95,,Network Rail Infrastructure Limited,Test Network,GSM-R,
National,Anguilla (United Kingdom),AI,365,010,,Digicel,Operational,GSM 850 / UMTS 850 / UMTS 1900 / LTE 700,
National,Anguilla (United Kingdom),AI,365,840,FLOW,Cable & Wireless,Operational,GSM 850 / UMTS 850 / UMTS 1900 / LTE 700,
National,Antigua and Barbuda,AG,344,030,APUA,Antigua Public Utilities Authority,Operational,GSM 1900,
National,Antigua and Barbuda,AG,344,050,Digicel,Antigua Wireless Ventures Limited,Operational,GSM 900 / GSM 1900 / UMTS 850 / LTE 700,LTE band 17
National,Antigua and Barbuda,AG,344,920,FLOW,Cable & Wireless Caribbean Cellular (Antigua) Limited,Operational,GSM 850 / GSM 1800 / GSM 1900 / UMTS 850 / LTE 1700,
National,Antigua and Barbuda,AG,344,930,,AT&T Wireless,Unknown,Unknown,
National,Aruba (Kingdom of the Netherlands),AW,363,01,SETAR,Servicio di Telecomunicacion di Aruba,Operational,GSM 900 / GSM 1800 / GSM 1900 / UMTS 2100 / LTE 1800 / TDMA 800,
National,Aruba (Kingdom of the Netherlands),AW,363,02,Digicel,Digicel Aruba,Operational,GSM 900 / GSM 1800 / UMTS 2100 / LTE 1800,
National,Bahamas,BS,364,39,BTC,The Bahamas Telecommunications Company Ltd (BaTelCo),Operational,GSM 850 / GSM 1900 / UMTS 850 / LTE 700 / LTE 1700,LTE band 17 and 4
National,Bahamas,BS,364,49,Aliv,Cable Bahamas Ltd,Operational,UMTS 850 / LTE 700 / LTE 1700,Former NewCo2015; LTE bands 13 and 4; license also covers Band 2
National,Barbados,BB,342,600,FLOW,LIME (formerly known as Cable & Wireless),Operational,GSM 1900 / UMTS 850 / LTE 850 / LTE 1900,LTE bands 5 / 2
National,Barbados,BB,342,750,Digicel,Digicel (Barbados) Limited,Operational,GSM 900 / GSM 1800 / UMTS 2100 / LTE 700 / LTE 1900,LTE bands 17 / 2
National,Barbados,BB,342,800,Ozone,Ozone Wireless Inc.,Not operational,LTE 700,LTE band 13; shut down July 2019
National,Barbados,BB,342,820,,Sunbeach Communications,Not operational,CDMA,Shut down in 2013
National,Bermuda,BM,310,59,Cellular One,,Operational,CDMA,uses USA MCC
National,Bermuda,BM,338,050,Digicel Bermuda,,Operational,GSM 1900 / UMTS 850 / UMTS 1900 / LTE 700,uses Jamaica MCC
National,Bermuda,BM,350,00,One,Bermuda Digital Communications Ltd.,Operational,GSM 1900 / UMTS 850 / LTE 700,Former CellOne
National,Bermuda,BM,350,01,Digicel Bermuda,Telecommunications (Bermuda & West Indies) Ltd,Reserved,GSM 1900,
National,Bermuda,BM,350,02,Mobility,M3 Wireless,Operational,GSM 1900 / UMTS,Merged with CellOne in 2011
National,Bermuda,BM,350,05,,Telecom Networks,Unknown,Unknown,
National,Bermuda,BM,350,11,,Deltronics,Unknown,Unknown,
National,Bermuda,BM,350,15,,FKB Net Ltd.,Unknown,Unknown,
National,British Virgin Islands (United Kingdom),VG,348,170,FLOW,Cable & Wireless,Operational,GSM 850 / GSM 1900 / UMTS 850 / LTE 700 / LTE 1900,
National,British Virgin Islands (United Kingdom),VG,348,370,,BVI Cable TV Ltd,Unknown,Unknown,
National,British Virgin Islands (United Kingdom),VG,348,570,CCT Boatphone,Caribbean Cellular Telephone,Operational,GSM 900 / GSM 1900 / UMTS 850 / LTE 900 / LTE 1900,
National,British Virgin Islands (United Kingdom),VG,348,770,Digicel,Digicel (BVI) Limited,Operational,GSM 1800 / GSM 1900 / UMTS 1900 / LTE 700 / LTE 1700,
National,Canada,CA,302,100,dotmobile,Data on Tap Inc.,Unknown,MVNO,
National,Canada,CA,302,130,Xplornet,Xplornet Communications,Operational,TD-LTE 3500 / WiMAX,
National,Canada,CA,302,131,Xplornet,Xplornet Communications,Operational,TD-LTE 3500 / WiMAX,
National,Canada,CA,302,150,,Cogeco Connexion Inc.,Unknown,Unknown,
National,Canada,CA,302,220,"Telus Mobility, Koodo Mobile, Public Mobile",Telus Mobility,Operational,UMTS 850 / UMTS 1900 / LTE 1700 / LTE 2600,Used in IMSI to identify Telus subscribers on shared network 302-880
National,Canada,CA,302,221,Telus,Telus Mobility,Unknown,Unknown,
National,Canada,CA,302,222,Telus,Telus Mobility,Unknown,Unknown,
National,Canada,CA,302,250,ALO,ALO Mobile Inc.,Unknown,Unknown,
National,Canada,CA,302,270,EastLink,Bragg Communications,Operational,UMTS 1700 / LTE 700 / LTE 1700,"Nova Scotia and PEI; LTE bands 13, 4"
National,Canada,CA,302,290,Airtel Wireless,Airtel Wireless,Operational,iDEN 900,"Calgary, AB"
National,Canada,CA,302,300,ECOTEL,Ambra Solutions,Unknown,LTE 700 / LTE 850 / LTE 2600,private LTE networks
National,Canada,CA,302,310,ECOTEL,Ambra Solutions,Unknown,LTE 700 / LTE 850 / LTE 2600,private LTE networks
National,Canada,CA,302,320,Rogers Wireless,Rogers Communications,Operational,UMTS 1700,Former Mobilicity
National,Canada,CA,302,330,,Blue Canada Wireless Inc.,Unknown,Unknown,
National,Canada,CA,302,340,Execulink,Execulink,Operational,MVNO,
National,Canada,CA,302,350,FIRST,FIRST Networks Operations,Not operational,GSM 850,MNC withdrawn
National,Canada,CA,302,360,MiKe,Telus Mobility,Not operational,iDEN 800,iDEN shut down January 2016
National,Canada,CA,302,361,Telus,Telus Mobility,Not operational,CDMA 800 / CDMA 1900,CDMA shut down 31 May 2017; MNC withdrawn
National,Canada,CA,302,370,Fido,Fido Solutions (Rogers Wireless),Operational,MVNO,former Microcell Telecommunications
National,Canada,CA,302,380,Keewaytinook Mobile,Keewaytinook Okimakanak Mobile,Operational,UMTS 850 / UMTS 1900,Former Dryden Mobility
National,Canada,CA,302,390,DMTS,Dryden Mobility,Not operational,Unknown,Acquired by Tbaytel in 2012; MNC withdrawn
